355455208,1292512861,22,161,2024-05-24 10:59:13
355455225,1292512866,22,155,2024-05-24 10:59:18
355455253,1292512864,22,155,2024-05-24 10:59:23
355455275,1292512854,22,155,2024-05-24 10:59:28
355455258,1292512845,22,161,2024-05-24 10:59:33
355455235,1292512831,22,161,2024-05-24 10:59:38
355455170,1292512817,21,161,2024-05-24 10:59:43
355455135,1292512805,21,161,2024-05-24 10:59:48
355455096,1292512798,21,156,2024-05-24 10:59:53
355455050,1292512793,21,165,2024-05-24 10:59:58
355455055,1292512787,21,161,2024-05-24 11:00:03
355455117,1292512765,22,130,2024-05-24 11:00:13
355455093,1292512761,22,126,2024-05-24 11:00:18
355455113,1292512760,22,126,2024-05-24 11:00:23
355455167,1292512757,22,126,2024-05-24 11:00:28
355455230,1292512756,21,137,2024-05-24 11:00:33
355455295,1292512750,19,141,2024-05-24 11:00:38
355455350,1292512744,20,139,2024-05-24 11:00:43
355455370,1292512740,20,142,2024-05-24 11:00:48
355455407,1292512730,21,139,2024-05-24 11:00:53
355455482,1292512726,21,140,2024-05-24 11:00:58
355455545,1292512732,20,140,2024-05-24 11:01:03
355455574,1292512727,20,140,2024-05-24 11:01:08
355455590,1292512716,21,140,2024-05-24 11:01:13
355455596,1292512710,20,173,2024-05-24 11:01:18
355455486,1292512719,20,151,2024-05-24 11:01:23
355455399,1292512728,20,150,2024-05-24 11:01:28
355455328,1292512732,20,150,2024-05-24 11:01:33
355455283,1292512734,20,165,2024-05-24 11:01:38
355455250,1292512739,21,173,2024-05-24 11:01:43
355455243,1292512749,21,173,2024-05-24 11:01:48
355455250,1292512746,20,167,2024-05-24 11:01:53
355455207,1292512747,22,140,2024-05-24 11:01:58
355455210,1292512761,21,138,2024-05-24 11:02:03
355455251,1292512773,21,135,2024-05-24 11:02:08
355455249,1292512775,20,141,2024-05-24 11:02:13
355455228,1292512787,21,136,2024-05-24 11:02:18
355455200,1292512796,22,127,2024-05-24 11:02:23
355455178,1292512789,22,128,2024-05-24 11:02:28
355455160,1292512768,21,137,2024-05-24 11:02:37
355455138,1292512768,22,127,2024-05-24 11:02:42
355455135,1292512774,22,125,2024-05-24 11:02:47
355455126,1292512776,21,129,2024-05-24 11:02:52
355455122,1292512778,21,129,2024-05-24 11:02:57
355455128,1292512780,22,126,2024-05-24 11:03:02
355455137,1292512781,21,136,2024-05-24 11:03:07
355455128,1292512780,22,126,2024-05-24 11:03:12
355455139,1292512780,22,126,2024-05-24 11:03:17
355455142,1292512794,20,142,2024-05-24 11:03:22
355455185,1292512801,21,161,2024-05-24 11:03:27
355455248,1292512805,21,150,2024-05-24 11:03:32
355455293,1292512810,22,148,2024-05-24 11:03:37
355455326,1292512818,21,148,2024-05-24 11:03:42
355455306,1292512823,22,136,2024-05-24 11:03:47
355455295,1292512835,22,136,2024-05-24 11:03:52
355455269,1292512856,22,141,2024-05-24 11:03:57
355455232,1292512866,23,126,2024-05-24 11:04:02
355455138,1292512871,23,126,2024-05-24 11:04:07
355455060,1292512872,23,126,2024-05-24 11:04:12
355455032,1292512865,23,126,2024-05-24 11:04:17
355455005,1292512861,23,126,2024-05-24 11:04:22
