23553,1716515844,598301410,localization,522775.3368776291,3933573.4276671303,286.30804,2024-05-24 10:57:24
23603,1716515849,598239421,localization,522775.36358959344,3933573.6162776225,286.30804,2024-05-24 10:57:29
23653,1716515854,598230600,localization,522775.4450261616,3933573.671938889,286.30804,2024-05-24 10:57:34
23703,1716515859,598169088,localization,522775.6632176954,3933573.417408407,286.30804,2024-05-24 10:57:39
24247,1716515913,998246908,localization,522777.1119216942,3933570.4820589004,286.30804,2024-05-24 10:58:34
24297,1716515918,998595952,localization,522777.14837651746,3933570.4045167477,286.30804,2024-05-24 10:58:39
24347,1716515923,998486280,localization,522777.06677026395,3933570.415399407,286.30804,2024-05-24 10:58:44
24397,1716515928,998808860,localization,522776.95717958524,3933570.73675112,286.30804,2024-05-24 10:58:49
24447,1716515933,998302221,localization,522776.99236191204,3933571.1582885175,286.30804,2024-05-24 10:58:54
24497,1716515938,998671293,localization,522777.04626650596,3933571.3469683463,286.30804,2024-05-24 10:58:59
24547,1716515943,998438119,localization,522777.06433838734,3933571.3691958813,286.30804,2024-05-24 10:59:04
24641,1716515953,398564577,localization,522777.0743074904,3933571.0143179777,286.30804,2024-05-24 10:59:13
24691,1716515958,398631334,localization,522777.1191478628,3933571.202974696,286.30804,2024-05-24 10:59:18
24741,1716515963,398552179,localization,522777.1002276507,3933571.5134668625,286.30804,2024-05-24 10:59:23
24791,1716515968,398420572,localization,522777.00896336255,3933571.757230201,286.30804,2024-05-24 10:59:28
24841,1716515973,398348331,localization,522776.92786611605,3933571.5684810393,286.30804,2024-05-24 10:59:33
24891,1716515978,398618221,localization,522776.8016174385,3933571.3130723867,286.30804,2024-05-24 10:59:38
24941,1716515983,398602724,localization,522776.6765563917,3933570.591856154,286.30804,2024-05-24 10:59:43
24991,1716515988,398669242,localization,522776.5687754581,3933570.203405846,286.30804,2024-05-24 10:59:48
25041,1716515993,398364305,localization,522776.50642871973,3933569.7707084636,286.30804,2024-05-24 10:59:53
25091,1716515998,398214101,localization,522776.4624083539,3933569.2604227066,286.30804,2024-05-24 10:59:58
25141,1716516003,398564815,localization,522776.4078816473,3933569.3157373276,286.30804,2024-05-24 11:00:03
